"Subject Code","Catalog Number","Description"
"ENGL","10803","Course satisfies Written Communication 1 (WCO) requirement in the TCU Core Curriculum.  Writing workshop where students compose multiple pieces in a range of genres using appropriate rhetorical conventions, learn strategies for reading texts and visual critically, and incorporate suitable sources.  Students will engage in processes for invention, drafting, critiquing, revising, and editing of prose.  Note: themed sections on a range of topics may be offered and will be designated with a descriptive course title."
"ENGL","10803","Course satisfies Written Communication 1 (WCO) requirement in the TCU Core Curriculum.  Writing workshop where students compose multiple pieces in a range of genres using appropriate rhetorical conventions, learn strategies for reading texts and visual critically, and incorporate suitable sources.  Students will engage in processes for invention, drafting, critiquing, revising, and editing of prose.  Note: themed sections on a range of topics may be offered and will be designated with a descriptive course title."
"ENGL","20000","English Literature Transfer work with TCUCC-HUM, LT credit."
"ENGL","20001","Transfer work."
"ENGL","20203","Girls' Studies examines the experiences and representation of girls in the U.S. and global cultures through various feminist theoretical lenses and considers girlhood as a gender category worthy of academic analysis.  Using academic and popular texts - including those produced in literature, online, and via television, film, and music - this course studies the category of girlhood in relation to dominant cultural practices and larger social, institutional, and political transformations."
"ENGL","20213","This course examines literature by women outside the United States and Europe, using a variety of recent theories about gender, nationalism, and historiography.  Students will consider the fundamental place of gender in shaping a cultural narrative, and we will concentrate on the ways in which gender and sexuality are configured in the literature of women in various national, cultural, social, and political contexts.  Themes considered may include sexuality, memory, race, decolonization, migration, nationalism, history, and diaspora."
"ENGL","20223","This course will explore how gender is portrayed in cultural texts across a range of genres and introduce students to theories of representation.  Students will examine how gender difference is represented in literature, art or film; the cultural implications of those representations; and how texts may perpetuate, challenge, and/or subvert gendered stereotypes.  Texts might include novels, short stories, plays, film, television shows, web texts and social media, visual art, graphic novels, and essays."
"ENGL","20233","An introductory course on interpreting gender, sex and sexuality in literature using a variety of methodologies.  Readings will vary by semester, but will always represent a spectrum of human sexual experience from diverse cultures, and draw on a variety of genres, such as poetry, drama, fiction, biography, film and essay."
"ENGL","20403","Studies of texts by British writers from the beginnings of English literature to the present. Texts vary by semester."
"ENGL","20423","An introduction to many different genres of medieval literature including poetry, prose, epic, saga, romance, myth, frame tale, and drama from various medieval cultures around the world.  Students will become familiar with interpretive strategies and will examine the course texts in relation to the cultural and historical circumstances of composition."
"ENGL","20433","Introduction to and analysis of 6-7 plays, with reference to the sociocultural context in which the plays were composed and the ways they (and their author) have been interpreted and appropriated since the late sixteenth century. This course is designed for undergraduates with little or no preparation in literary studies."
"ENGL","20500","Transfer work with UCR/TCUCC credit."
"ENGL","20503","Studies of texts by American writers from the beginnings of American literature to the present. Texts vary by semester."
"ENGL","20523","Prerequisites: ENGL 10803, ENGL 20803.  ENGL 20803 may be taken concurrently with ENGL 20523.  An examination of the question of how and why American authors employ sports-centered materials in their work."
"ENGL","20533","The American success dream as depicted and evaluated by major writers from Colonial times to the present."
"ENGL","20543","A survey of the American short story from its origins to the present."
"ENGL","20553","An introduction to the interdisciplinary field of American studies, which brings together work from across the humanities and social sciences to study the histories, ideas, and collectively told stories that constitute the nation and shape its culture.  Engages key concepts in the field, including the construction of difference and identity, racism and antiracism, war and empire, cultural memory, and globalization."
"ENGL","20563","An introduction to writings of diverse genres and historical periods by Hispanic and/or Latina/o writers from what is now the U.S.A. Latina/o literature will serve as the primary readings for students to engage and examine key concepts of literary criticism and cultural history."
"ENGL","20573","An introduction to the diverse literatures of Native America.  The course may focus on a specific historical period or may cover a more extensive time span."
"ENGL","20583","The American West and the Western hero in fiction, from James Fenimore Cooper to selected contemporary authors."
"ENGL","20593","This course will introduce literary and cultural production (prose, poetry, nonfiction, drama and film) of the global African Diaspora with attention to themes of identity, language, exile, and legacies of colonialism and imperialism.  Students will examine this literature from aesthetic, historical, and social contexts."
"ENGL","20603","Two period surveys, the first from ancient Greece to the Renaissance, and the second from the Enlightenment to the present. The primary emphasis will be historical, but individual instructors may vary the choice and treatment of texts to explore important developments of theme (e.g., the hero, journey, and monsters) or genre (e.g., tragedy, epic, romance, and lyric). Students may take both courses or either course."
"ENGL","20613","Two period surveys, the first from ancient Greece to the Renaissance, and the second from the Enlightenment to the present. The primary emphasis will be historical, but individual instructors may vary the choice and treatment of texts to explore important developments of theme (e.g., the hero, journey, monsters) or genre (e.g., tragedy, epic, romance, lyric). Students may take both courses or either course."
"ENGL","20623","This course examines women writers who create forms of expression as well as contribute to literature and/or rhetoric.  The course may focus on a specific historical period or may cover a more extensive time span."
"ENGL","20633","Study of major Greek and Roman myths, gods, and heroes, as these reflect cultural values and problems, and including some study of major literary forms."
"ENGL","20643","An examination of a wide range of texts, some that are classified as fable or fantasy literature as well as some that incorporate elements from these genres. The course may focus on a specific historical period or may cover a more extensive time span."
"ENGL","20653","A study of the means by which the spirit of romanticism is embodied in literature since the late 18th century."
"ENGL","20663","Why do people read literature, and in what ways might it matter?  This course explores the personal, civic, and cultural significance of reading literature through assigned readings and a service learning component.  Students will thus explore literary works and theories about literature's significance in multiple contexts: in individual reading and reflection, in group discussions in the classroom, and in dialogue with community residents in the civic context of Fort Worth."
"ENGL","20683","Examines individual texts, authors, and recurring themes in Young Adult literature.  Students will analyze the genre's place in American culture by surveying its history, exploring the influence of major writers' diverse ethnic, class, and gendered backgrounds, and examining its interactions with other popular forms such as graphic and film texts.  Students will also examine the interactive relationship between YA texts and social issues, particularly those related to diversity, equity, and inclusion."
"ENGL","20703","Course examines interactions between literature and the law, with attention to the way in which literary texts enter debates over morality, justice, and the strengths and weaknesses of legal systems.  Texts from a variety of periods and national origins."
"ENGL","20713","This course examines literary works in a variety of genres that treat topics related to health care and medicine.  Students will consider ways in which narrative shapes cultural understandings of health, sickness, and the body as well as ways in which literary writers have used health and sickness as metaphors to explore the human condition.  Themes may include caregiving, doctor/patient relationships, chronic illness, reproduction, mental illness, infection and contagion, and disability."
"ENGL","20723","This course introduces students to disability studies, a discipline at the intersection of humanities and social sciences that focuses on the lived experiences of disabled people and on the societal structures and systems of privilege and oppression that construct those experiences.  Students will read theory, social science, and literary texts on cultural conceptions of disability, and assignments will ask students to analyze representations of disability and disability access in assigned texts and in their communities."
"ENGL","20733","Historical development of science fiction as a literary genre with particular attention given to significant authors and themes."
"ENGL","20743","Crime, detective and suspense fiction in its social and historical context, illustrated by selected major works and authors."
"ENGL","20753","Studies of the aesthetic, ideological, and historical dimensions of film genre(s) such as film noir, horror, romantic comedy, the musical, etc, with examples drawn from global film industries.  Topics will vary by semester and may include a comparative approach to genre."
"ENGL","20803","Course satisfies Written Communication 2 (WCO) requirement in the TCU Core Curriculum.  Prerequisite: ENGL 10803 or equivalent and sophomore standing (24 hours).  Writing workshop that builds on ENGL 10803 by focusing on the analysis and production of arguments in a variety of media (i.e., print, visual, oral, digital).  Students will work individually and collaboratively to read, research, and compose effective arguments on issues of local and national importance.  Note: themed sections on a range of topics may be offered and will be designated with a descriptive course title."
"ENGL","20813","This class provides an overview of the different types of digital methodologies available to the humanities student and scholar and introduces students to how humanities questions may be addressed using digital methods.  Though there are many ways to approach the digital humanities, this class will focus on three specific areas of digital scholarship:  archives and editions, text analysis, and digital map making.  No previous experience in technology or programming is required."
"ENGL","20913","This two-semester sequence explores the role of literary, rhetorical and dramatic expression in the development of cultural ideas, institutions and values.  The first semester will focus on the cultural foundations of Britain and the United States; the second semester will focus on responses to these developments registered within various literary and rhetorical texts from around the world."
"ENGL","20923","Along with ENGL 20913, this course explores the role of literary, rhetorical and dramatic expression in the development of cultural ideas, institutions and values.  This course focuses on responses to inherited cultural developments registered within various literary and rhetorical texts from around the world."
"ENGL","20933","Examines a broad survey of non-Western literature, including work from Asia, Africa, the Middle East, and Latin America.  This course approaches the literature from a variety of cultural perspectives such as dissent and conformity, urbanity and rural life, religion and secular identity, and sex and gender.  Students will gain an understanding of non-Western authors and the cultures they represent, as well as investigate the ways literature contributes to global conversations about identity and creativity."
"ENGL","20990","This course represents credit earned through a semester study abroad experience with an institution or program with which Texas Christian University has an official agreement to accept credit.  The site and specific content will be identified on the official transcript. Courses appearing on a student's official transcript have been included in the student's grade point average."
"ENGL","30000","General Transfer Credit"
"ENGL","30003","Independent projects in literature, writing,and creative writing."
"ENGL","30013","Course meets to support students' independent distinction projects in literature and writing."
"ENGL","30100","General Transfer Credit"
"ENGL","30103","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  An introductory investigation into the peculiar aesthetic problems involved in reading and interpreting literary language.  Particular attention is given to the tensions among literature, readers, and cultural contexts.  Both traditional and contemporary approaches are examined.  Readings range from folk tales to literary classics to recent writing in the philosophy of language.  Students cannot receive credit for ENGL 55133 and ENGL 30103."
"ENGL","30113","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  An introductory investigation into the peculiar aesthetic problems involved in reading and interpreting literary language. Particular attention is given to the tensions between literature, readers, and cultural contexts. Both traditional and contemporary approaches are examined. Readings range from folk tales to literary classics to recent writing in the philosophy of language. Student cannot receive credit for ENGL 55113 and 30113."
"ENGL","30123","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Two period surveys, the first of medieval and early modern literature, and the second of nineteenth- through  twentieth-first century literature.  Both courses will consider literary antecedents, the conventions of various genres, the cultural circumstances of composition, and interpretive strategies.  Students may take both courses or either course.  The English Department recommends that ENGL 30113 and 30123 be taken consecutively. Student cannot receive credit for ENGL 55273 and ENGL 30123."
"ENGL","30133","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The first of two period surveys in American Literature, this one spanning from the Colonial times through the Civil War.  This course considers literary antecedents, the conventions of various genres, the cultural circumstances of composition, and interpretive strategies.  Students may take both courses or either course.  Student cannot receive credit for ENGL 55423 and ENGL 30133."
"ENGL","30143","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The second of two period surveys in American Literature, this one spanning from after the Civil War to the present.  This course considers literary antecedents, the conventions of various genres, the cultural circumstances of composition, and interpretive strategies.  The English Department recommends that ENGL 30133 and 30143 be taken consecutively.  Student cannot receive credit for ENGL 55813 and ENGL 30143."
"ENGL","30163","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000- level ENGL/WRIT/CRWT course.  An examination of depictions of cities in American literature, with attention to the ways urban experiences shape Americans' lives, social interactions, and identities.  The historical period under inquiry may vary by semester.  Student cannot receive credit for ENGL 55743 and ENGL 30163."
"ENGL","30173","Prerequisites: ENGL 10803, ENGL 20803, and one 10000-20000 level ENGL/WRIT/CRWT class.  This course provides an introduction to the early tradition of Marxist Cultural Theory.  Students will analyze and evaluate theoretical arguments and apply them to literary and visual texts."
"ENGL","30183","Prerequisites: ENGL 10803, ENGL 20803, and at least onee additional 10000- or 20000-level ENGL/WRIT/CRWT course.  Study of literary works pertaining to the experience, concept, theory, politics, culture, history, and/or imaginary of prison and/or penal systems.  Themes of analysis may include politics, power, race, ethnicity, class, gender, and/or violence.  Topics and reading vary by semester."
"ENGL","30193","Prerequisites:  WGST 20003.  This course will serve as an introduction to the diverse theories, political movements, histories, identities, and arts that could be called queer.  In this class, students will utilize queer theories to better understand and respond to the complex systems of marginalization, violence, and privilege that organize our social worlds today and to better understand our own positionality within those systems."
"ENGL","30413","Prerequisite: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. Concentrated study of Medieval literature and culture, 500-1500.  Topics, genres, authors, and approaches will vary by semester.  May be taken more than once for credit under different subheadings.  Student cannot receive credit for ENGL 55413 and ENGL 30413."
"ENGL","30423","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Survey of early British dramatic literature, from morality- and mystery-plays of the 15th century through revenge tragedies and city comedies of the 16th and 17th.  The course examines drama as a cultural force and traces the growth of tragic and comic genres."
"ENGL","30433","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Survey of 16th- and 17th-century English verse, with particular attention to aesthetic, political, and religious functions of poetry; the status of poets in early modern England; and the effects of societal changes on the production of poetry in the period."
"ENGL","30443","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A survey of drama, poetry, prose and film from all 32 counties of Ireland beginning with the Irish literary revival exemplified by, for example, W.B. Yeats, Augusta Gregory, James Joyce, J.M. Synge and concluding with Ireland's second renaissance e.g., works by Seamus Heaney, Paula Meehan, Roddy Doyle, Brian Friel, and Neil Jordan."
"ENGL","30453","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  This course examines the genre of the Victorian novel, asking why it emerges in this period to challenge the preeminence of poetry, why realism becomes its dominant style, and how particular novelists respond to the substantial changes occurring in British society, including industrialization, political reform, and changing relations between the sexes and classes. Student cannot receive credit for ENGL 55383 and ENGL 30453."
"ENGL","30463","Prerequisites: ENGL 10803, ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. A close scrutiny of early 20th century British literature and criticism written by and about the intellectual circle called the Bloomsbury Group. Writers and artists may include Virginia and Leonard Woolf, E.M. Forster, Lytton Strachey, Roger Fry, Duncan Grant, Vanessa and Clive Bell, and Desmond MacCarthy. Emphasis will be given to the writers' engagement with, contributions to, and/or repudiation of Modernism, Empire, sexual norms, and class consciousness. Student cannot receive credit for ENGL 55283 and ENGL 30463."
"ENGL","30473","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course. This course examines the writings of Oscar Wilde and his contemporaries to explore how literature constructs and reflects gender, sexuality, and social debates.  Particular attention will be given to diverse sexualities represented by New Woman writers, new theories of sexual inversion developed in the 1890s and Oscar Wilde's trials and imprisonment on the grounds of indecency with another man.  Student cannot receive credit for ENGL 55433 and ENGL 30473."
"ENGL","30493","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A survey of British, American and Anglophone women poets from the 16th century to the present. Emphasis will be given to women writers' engagement with, contribution to, and rewriting of poetic tradition; to the social and historical conditions affecting women's poetic production; and to the relation between poetry, poetics, and theories of gender."
"ENGL","30500","General Transfer Credit"
"ENGL","30503","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT course.  A study of major American authors emerging in the Twenties, the cultural context for their art, and the influences of their achievements."
"ENGL","30513","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Survey emphasizing major poets from Colonial times to the present, including some poetic theory and criticism."
"ENGL","30523","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  A study of American literature's place in popular culture and of the intersections among popular forms and the literary.  The course may focus on different periods (e.g., historical or contemporary), different genres (e.g., mass market forms such as mysteries, romance, and biographies), different authors, and/or different reading practices (e.g., book clubs, etc.)."
"ENGL","30543","Prerequisites:  ENGL 10803, 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course.  This course will survey the work of Black women writers and the development of a Black feminist discourse across time and throughout the world. Students will use the lens of Black feminism to read these works as well as consider how the works themselves are theorizing Black feminism. This course covers multiple genres of Black women's writing, including novels, life-writing, drama and performance, and poetry, from the 19th through the 21st centuries."
"ENGL","30553","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Development of the American novel from its origins through the beginning of the 20th century.  Readings may include works by James Fenimore Cooper, Nathaniel Hawthorne, Herman Melville, Louisa May Alcott, Henry James, Harriet Beecher Stowe, Mark Twain, Sarah Orne Jewett, and Frank Norris, and will emphasize the novels' close ties to contemporaneous social, scientific, and political issues."
"ENGL","30563","Prerequisites: ENGL 10803, ENGL 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Representative plays by the major playwrights of the American theatre.  Movements in theater and changes in theatrical conventions will provide a historical context.  Limited readings in criticism."
"ENGL","30573","Prerequisites: ENGL 10803, ENGL 20803, and at least one additional 10000- or 20000-level ENGL/WRIT/CRWT course.  An analysis of the fiction, poetry, drama and/or essays written by African Americans, with texts potentially drawn from the slave era through post-civil rights, exploring chronologically the historical, social, cultural and racial contexts which shape the literature.  Student cannot receive credit for ENGL 55443 and ENGL 30573."
"ENGL","30583","Prerequisites: ENGL 10803 , ENGL 20803 , and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  The development of American literature from the period of earliest settlement through the era of the Early Republic, emphasizing the religious and socio-political evolution of American thought; attention will also be given to the development of imaginative literature, such as the novel.  Among the figures included will be William Bradford, Anne Bradstreet, Edward Taylor, Thomas Jefferson, Benjamin Franklin, Susannah Rowson, and Charles Brockden Brown."
